23 2499 1069  395 1595 1648  682 1949  563 1571  277 1841 2003 2672 2787 2270 1713 -1.4922 4.5511 0.2228 0.0703 0.0000 0.0676 0.9508 0.0155 1.0073 800.0000 115.1197 1.0030 2.3413 118.4640 
24 2500 1066  392 1601 1644  679 1945  560 1567  273 1842 2004 2678 2788 2271 1709 -1.3750 9.0866 0.2219 0.0781 0.0000 0.0676 0.9763 0.0116 1.0073 800.0000 116.4993 1.8003 2.9023 121.2019 
25 2010  799 1601 1557 2710  796 2912  376  836  907 1527 2660 2964 2481 2298 2187 -1.7031 5.2340 0.2305 0.1562 0.0000 0.0676 1.0236 0.0000 1.3698 800.0000 113.4070 1.1745 3.1756 117.7571 
26 2010  798 1601 1557 2710  796 2912  375  835  907 1527 2660 2963 2481 2297 2186 -1.4766 8.4246 0.2299 0.1250 0.0000 0.0676 1.0292 0.0188 1.3698 800.0000 121.5997 2.0364 4.8489 128.4849 
27 2009  802 1600 1556 2709  795 2911  379  839  906 1526 2659 2967 2480 2301 2190 -1.7188 4.2510 0.2285 0.1719 0.0000 0.0676 1.0591 0.0143 1.3698 800.0000 120.2665 1.1416 5.8167 127.2248 
28 2009  803 1600 1556 2709  795 2911  380  840  906 1526 2659 2968 2480 2302 2191 -1.2578 11.7519 0.2268 0.1719 0.0000 0.0676 1.0713 0.0192 1.3698 800.0000 129.0159 1.1397 3.7914 133.9470 
29 2007  797 1598 1554 2707  793 2909  374  834  904 1524 2657 2962 2478 2296 2185 -1.4453 7.5088 0.2317 0.1172 0.0000 0.0676 1.1105 0.0091 1.3698 800.0000 123.2020 1.4495 3.8640 128.5154 
30 2012  799 1603 1559 2712  798 2914  376  836  909 1529 2662 2964 2483 2298 2187 -1.3516 9.6786 0.2289 0.1484 1.0500 0.0676 1.1346 0.0101 1.3698 800.0000 127.6060 2.0327 3.9613 133.6000 
31 2916 1693 2719 2196 2337  811 1330 2596 1432 1171 1378 1677  194 2908 2269 2100 -1.6641 1.1382 0.0475 0.0469 0.0000 0.0676 1.2164 0.0000 1.2682 800.0000 126.8546 1.3242 3.8237 132.0024 
32 2916 1693 2719 2197 2338  811 1331 2596 1432 1172 1379 1678  194 2908 2269 2101 -1.2812 2.7549 0.0460 0.0469 0.0000 0.0676 1.2145 0.0150 1.2682 800.0000 123.8574 1.2034 3.8419 128.9027 
33 2004 1150  584 1727 1645  678 1946  376  972 1171 1378 2002 2860 2481 2269 1888 -1.0547 8.0679 0.2637 0.0234 0.0000 0.0676 1.3012 0.0000 1.1525 800.0000 133.4842 1.0376 3.6507 138.1725 
34 2603 1830  762 1024 2356 2615  710 1855  981 1469 1378 2037 1253 2097 1537 2289 -1.3359 5.5634 0.0809 0.1250 1.6429 0.0676 1.2526 0.0000 1.2599 800.0000 131.5239 1.7285 4.1605 137.4129 
35 2603 1830  888 1639 2356 1973  806  560 1177 1910 1073  775 1253 2481 1681 2684 -0.7344 9.5667 0.1767 0.0000 0.0000 0.0676 1.2367 0.0000 1.2045 800.0000 128.4147 1.0959 5.4517 134.9624 
36 1625 1836  883 1825 1968 2007 1280  786 1284 1341 1073 1507 2527 2211 2912 2719 -1.6094 5.6257 0.1746 0.0234 0.0000 0.0676 1.1676 0.0000 1.0245 800.0000 132.1889 2.1393 4.9456 139.2738 
37 1626 1837  885 1825 1969 2009 1282  788 1286 1342 1074 1507 2527 2212 2912 2719 -1.6562 5.0620 0.1756 0.0312 0.0000 0.0676 1.1672 0.0128 1.0245 800.0000 136.9165 1.0143 4.2566 142.1873 
38 1626 1837  886 1824 1969 2010 1283  789 1287 1342 1074 1506 2526 2212 2912 2719 -1.4141 5.3626 0.1756 0.0703 0.0000 0.0676 1.1759 0.0161 1.0245 800.0000 133.3397 1.2934 3.9791 138.6122 
39 1625 1836  880 1827 1968 2004 1277  783 1281 1341 1073 1509 2529 2211 2912 2719 -1.4609 4.4709 0.1715 0.0312 0.0000 0.0676 1.2278 0.0156 1.0245 800.0000 130.4424 1.3996 4.3560 136.1981 
40 2029 1481  888 2580 2421 1973 1226  560 1177 1341 1073 1304 2667 2481 2912 2694 -1.1250 5.8268 0.1732 0.0625 0.0000 0.0676 1.2423 0.0000 1.0785 800.0000 126.3815 1.1706 4.6740 132.2261 
41 1712 1395  653 2350 2116  522 1946  973  878 1316  601  476 2313  858 2005 1767 -1.8906 5.6572 0.1605 0.0625 0.0000 0.0676 1.2145 0.0000 0.8987 800.0000 117.0330 1.3022 4.7344 123.0695 
42 1711 1395  652 2350 2116  521 1945  972  877 1315  600  475 2313  857 2005 1766 -1.5156 8.4407 0.1607 0.1094 0.0000 0.0676 1.2176 0.0357 0.8987 800.0000 136.4577 0.9102 2.4273 139.7951 
43 1714 1394  655 2349 2115  524 1948  975  880 1318  603  478 2312  860 2004 1769 -2.0000 4.5197 0.1602 0.0703 0.0000 0.0676 1.2702 0.0300 0.8987 800.0000 126.1300 0.9152 4.7219 131.7671 
44 1715 1393  656 2348 2114  525 1949  976  881 1319  604  479 2311  861 2003 1770 -1.9922 8.2598 0.1575 0.0703 0.0000 0.0676 1.2794 0.0498 0.8987 800.0000 127.7862 1.0213 3.7481 132.5556 
45 1715 1393  656 2348 2114  525 1949  976  881 1319  604  479 2311  861 2003 1770 -1.8516 8.5054 0.1575 0.0312 0.0000 0.0676 1.1891 0.0494 0.8987 800.0000 134.4355 0.7940 3.6981 138.9276 
46 1715 1394  656 2349 2115  525 1949  976  881 1319  604  479 2312  861 2004 1770 -1.9844 6.2832 0.1591 0.1016 0.0000 0.0676 1.1434 0.0433 0.8987 800.0000 123.0514 1.6616 3.7332 128.4462 
47 1715 1394  656 2349 2115  525 1949  976  881 1319  604  479 2312  861 2004 1770 -1.8047 9.0718 0.1591 0.0859 0.0000 0.0676 1.1035 0.0429 0.8987 800.0000 135.9785 0.7332 3.4059 140.1177 
48 1715 1394  656 2349 2115  525 1949  976  881 1319  604  479 2312  861 2004 1770 -1.7656 8.2438 0.1591 0.0703 0.0000 0.0676 1.0870 0.0382 0.8987 800.0000 139.4672 0.9137 5.2538 145.6347 
49 1714 1391  655 2346 2112  524 1948  975  880 1318  603  478 2309  860 2001 1769 -1.7969 8.1474 0.1611 0.0547 0.0000 0.0676 1.0926 0.0352 0.8987 800.0000 135.4138 0.9147 3.0220 139.3505 
50 1715 1393  655 2350 2115  525 1950  976  881 1319  603  478 2313  860 2004 1771 -2.0859 8.2996 0.1571 0.0781 0.0000 0.0676 1.0840 0.0329 0.8987 800.0000 144.7197 0.9189 2.3187 147.9573 
51 1715 1392  654 2351 2115  525 1951  976  881 1319  602  477 2314  859 2004 1772 -1.9844 6.4092 0.1584 0.0703 0.0000 0.0676 1.0751 0.0439 0.8987 800.0000 140.7230 0.6736 2.4194 143.8160 
52 1715 1391  654 2351 2115  525 1952  976  881 1319  602  477 2314  859 2004 1773 -2.1328 5.7066 0.1597 0.0703 0.0000 0.0676 1.0553 0.0435 0.8987 800.0000 148.2127 0.9377 4.4654 153.6158 
53 1712 1332 1061 2095 1847  627 1946 1112  878  416  601  190 2313 2884 2005 1888 -1.3359 5.1855 0.1289 0.0078 0.0000 0.0676 1.0496 0.0000 0.9251 800.0000 136.6556 0.6908 3.6276 140.9739 
