0 1483  406 1002 2854 1626  593 2163  229 2466  884  203  352  576 1713  195 1261 1381 1950 -1.7109 5.2937 0.1787 0.0781 1.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
1  223 1345 1852  650 2772 2727 1656 1394 2888  151 1131 2618 2708 2969 2553 2942  804 1003 -1.0703 8.1761 0.3184 0.1016 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2 2608 2969 2603 1043 2636 1223 2499 2998  354 1710  641 2736 1479  997 2204 1892  434 2168 -1.7656 5.4407 0.2677 0.0625 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
3 2109  766  769 1958 2154 2073 1262  757 1357 2920 2315 1013  901 2175 2839 1714 1709  582 -0.9609 7.7544 0.1703 0.0859 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4 2146  203  124 1597  909  861 1950 2581  587  523 2985  778 2853  937  558 2415 2772  316 -1.9141 2.5674 0.2879 0.0078 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
5 1774 2097  453  868 1246 1631  371 1682  818 2124 1548 2310  170 2617 1265  782  327 2604 -0.9922 8.4645 0.1767 0.1016 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
6 1037 1093 2402 1541  474 2334  599 1238 1181 2619 1898 1907 1648 1459  981 1152 2576 1529 -1.3984 6.3676 0.2111 0.0391 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
7 2831 1657 1578  277  249 1353  829 1895 1635  991 2619  631 1200  374 1887  138 2322 1767 -1.2266 9.1530 0.2599 0.0781 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
8  635 2187 1530 2195 1338 2572 2995 2273 2090 1306 1796 1688 2136  425  865  523 1076  877 -1.2109 9.6953 0.0289 0.0938 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
9  858 2467 2794 2660 1992  309 1187  560 2218 2162  727 1428 2096 1891 1756 2585 2121 2861 -1.4531 10.5175 0.2678 0.0781 0.0000 0.0100 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
