0.000000000000000000e+00 7.342821123357416990e-01 -1.242065083102490863e+00 6.763671854950581519e+01 -3.470683811008776587e+01 -2.664797812466893134e+01
1.000000000000000000e+00 9.197307550977098511e-01 -9.011804674661861858e-01 6.087879057214442469e+01 -3.185930625227055657e+01 2.399503833814218368e+01
2.000000000000000000e+00 1.155470090106609060e+00 -9.592842256811778823e-01 5.399141233732126466e+01 -2.018764941254752898e+01 5.870187698496710738e+00
3.000000000000000000e+00 1.652231033399166549e+00 -9.207779637126284333e-01 4.754598225232031439e+01 -7.113005223435298952e+00 -1.539551044689714487e+00
4.000000000000000000e+00 1.958239838351391038e+00 -8.656868576217726652e-01 4.602526151560882539e+01 -2.212646104355581400e+00 -3.301674087808006419e+00
5.000000000000000000e+00 2.154955613317176777e+00 -8.061019866869294503e-01 4.560474122156199428e+01 -1.958086360999562459e-01 -3.185400424108761896e+00
6.000000000000000000e+00 2.265046950351713217e+00 -7.520571834169880177e-01 4.547397859917767704e+01 3.174703054331491359e-01 -1.975457377066277331e+00
7.000000000000000000e+00 2.316401198274987472e+00 -7.144906045506355108e-01 4.543941347309721834e+01 2.179417465387816222e-01 -6.051459023962095785e-01
8.000000000000000000e+00 2.321015103222570097e+00 -7.057332947597126926e-01 4.543699181914203677e+01 7.611738225219699672e-02 -1.015569191899530210e-01
9.000000000000000000e+00 2.317456008923246102e+00 -7.056669693418343714e-01 4.543681471816449857e+01 2.128766645304569494e-02 -1.008894385972070040e-02
1.000000000000000000e+01 2.314952997390954170e+00 -7.063317423949347917e-01 4.543679018852484575e+01 5.745812408974870777e-06 3.676844647607424577e-03
1.100000000000000000e+01 2.314766310768352486e+00 -7.064417543139165367e-01 4.543678997407566555e+01 -1.075762495172938316e-04 3.944877228931886748e-04
1.200000000000000000e+01 2.314762108082978997e+00 -7.064487124382972105e-01 4.543678997293017119e+01 -6.860769357075469088e-07 1.155293197996343224e-06
