  0    336    651    812   2180   2933   1696    121   1718 -1.8594 1.2714 0.1016 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1   1252   1469    156   1252    175   1937    793    564 -1.6406 1.0352 0.0625 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   2938   1970   2076   1852    333    652    525   1040 -1.1562 1.1250 0.0156 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   2323   1055   1861    893   2014   1468   1174   1925 -2.1797 1.7864 0.2500 0.0000 2.6667 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4    664    867   2730   2459   1199    957   2103    890 -1.9219 2.1671 0.2109 0.0000 1.8000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   1019   2706   1268   2751   2605   2131   1459   1333 -1.7031 0.9033 0.0234 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6   2097   1740   1738   1991   1704    753    991   2136 -1.7266 1.1294 0.0156 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7   1634    302   1463    175    901   2387   1377   1505 -1.7578 1.1771 0.0469 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8    739   1309   2591   1073   2200    324   1815    247 -2.0078 2.0551 0.1797 0.0000 1.2105 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9    921   2464   2174   1293    704    107   2518    148 -2.1875 1.0827 0.1641 0.0000 1.1053 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10   1504   1216    420   2601   1443   1242    249   2763 -2.4688 1.6211 0.3203 0.0000 2.9286 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 11   2642   2142    953   2956   2544   2517    855   1673 -1.7188 0.9124 0.0156 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 12   1874   2913   2952    411   1398   2094   1912    476 -2.2812 0.6289 0.0234 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 13   2219   1985    600   2324    468    506   1679   2455 -2.0000 0.6614 0.0000 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 14    140    681   2383   1637    625   1611    673   2594 -1.5547 0.8946 0.0703 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 15   1298    231   1591    340   1632   2970   2900    741 -1.2188 1.2274 0.0000 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 16    531    513   1008   1530   1047   2612   2250   2057 -1.5625 1.5079 0.0703 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 17   1779   1674   2450    813   2300   1067   2802   2387 -1.4922 0.9448 0.0469 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 18   2731   2710    362   1748   2848   1347   2388   2908 -1.8828 0.9232 0.0312 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 19   2535   2331   1120    643   1966   2730   2702   1152 -2.0234 0.8892 0.0234 0.0000 0.0000 0.0132 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 20   2329   1058   1838    894   2007   1464   1158   1935 -2.0703 1.8139 0.2266 0.0000 2.0714 0.0132 0.9116 0.0000 0.0108 400.0000 17.6225 43.0502 0.2325 60.9052 
 21   1504   1215    416   2601   1441   1241    249   2764 -2.2500 1.3386 0.1953 0.0000 1.6667 0.1819 0.9182 0.0006 0.0097 51.0000 2.3425 38.9912 0.2389 41.5726 
 22   1497   1256    588   2615   1538   1295    235   2734 -2.3672 1.2736 0.2344 0.0000 1.4286 0.1868 0.8519 0.0001 0.0096 53.0000 2.8165 39.9121 0.2500 42.9786 
 23   1512   1220    464   2739   1616   1270    101   2960 -2.5547 1.6190 0.3828 0.0000 4.0833 0.2915 0.8141 0.0001 0.0091 64.0000 2.8913 40.4655 0.2291 43.5859 
 24   1523   1201    418   2846   1708   1262    100   3000 -2.2969 1.3757 0.2266 0.0000 1.7059 0.3497 0.7946 0.0005 0.0088 63.0000 2.8435 41.2025 0.2726 44.3185 
 25   1562   1299    469   2428   1589   1416    100   3000 -2.2188 1.3848 0.2031 0.0000 1.5294 0.3629 0.7729 0.0001 0.0094 107.0000 4.8843 40.2441 0.3052 45.4336 
 26   1435   3000   2997    377   1227   1467   2237    100 -2.5547 1.3198 0.2500 0.0000 2.9091 0.3810 0.7790 0.0001 0.0090 72.0000 3.3735 44.5427 0.2692 48.1854 
 27   1374   3000   3000    327   1207   1395   2291    100 -1.9062 2.4636 0.1172 0.0000 1.0714 0.4574 0.8328 0.0005 0.0100 69.0000 3.2574 44.2930 0.2192 47.7696 
 28   1511   1224    469   2713   1598   1273    119   2932 -2.0391 1.3607 0.1562 0.0000 1.4286 0.0776 0.8843 0.0008 0.0038 64.0000 2.9938 40.6642 0.2440 43.9019 
 29   2304   1047   1900    890   2033   1470   1214   1909 -1.8438 2.0541 0.1641 0.0000 1.0500 0.0200 0.9149 0.0003 0.0097 61.0000 2.7868 44.4568 0.3184 47.5620 
 30   2517   2267   1085    658   1964   2752   2700   1194 -2.0078 0.7165 0.0156 0.0000 0.0000 0.0155 0.9089 0.0000 0.0326 400.0000 17.4845 52.3876 0.2932 70.1654 
 31   2186   1976    532   2267    499    553   1698   2426 -2.0078 0.7165 0.0000 0.0000 0.0000 0.0173 0.9133 0.0000 0.0393 400.0000 17.6301 42.3966 0.2576 60.2843 
 32   2478   2286   1095    647   1940   2706   2720   1129 -2.3359 0.5555 0.0234 0.0000 0.0000 0.0149 0.9067 0.0000 0.0148 400.0000 17.6482 52.7877 0.3245 70.7603 
 33   2356   1064   1889    897   1989   1495   1133   1908 -2.3594 1.6966 0.2812 0.0000 2.7692 0.0193 0.9231 0.0010 0.0070 54.0000 2.4969 44.1571 0.3212 46.9751 
 34   2384   1085   1893    914   1983   1506   1123   1911 -2.1484 1.9542 0.2344 0.0000 1.5000 0.0241 0.9414 0.0002 0.0100 99.0000 4.4105 44.7847 0.2260 49.4213 
 35   1856   2945   2936    434   1360   2074   1907    469 -2.1953 0.8671 0.0391 0.0000 0.0000 0.0259 0.9498 0.0000 0.0207 400.0000 17.7390 48.3582 0.2815 66.3787 
 36   1502   1226    463   2602   1465   1254    247   2752 -2.3359 1.2642 0.2188 0.0000 2.0000 0.0293 0.9624 0.0010 0.0026 59.0000 2.8623 39.9218 0.3369 43.1209 
 37   1500   1246    537   2604   1502   1283    250   2735 -2.2344 2.5431 0.2578 0.0000 1.9412 0.0331 0.9636 0.0009 0.0065 58.0000 3.1794 40.3620 0.3754 43.9168 
 38   1529   1223    453   2592   1456   1195    254   2748 -2.7266 1.3498 0.3672 0.0000 3.3571 0.0354 0.9742 0.0008 0.0099 78.0000 3.5730 39.1160 0.3053 42.9943 
 39   1535   1223    456   2589   1456   1182    255   2745 -2.4062 1.4557 0.2656 0.0000 1.7000 0.0353 0.9646 0.0009 0.0016 66.0000 3.2252 41.0477 0.3700 44.6429 
 40   1529   1230    448   2603   1462   1207    260   2759 -2.4609 1.4788 0.3203 0.0000 2.0500 0.0293 0.9132 0.0010 0.0018 75.0000 3.4668 39.8868 0.3938 43.7475 
 41   1511   1205    458   2575   1443   1201    234   2730 -2.3750 1.6220 0.3047 0.0000 3.0000 0.0349 0.9218 0.0010 0.0034 55.0000 2.6290 38.2178 0.4364 41.2832 
 42   1550   1243    449   2564   1440   1215    289   2739 -2.1406 2.6100 0.2578 0.0000 2.7500 0.0376 0.9296 0.0009 0.0062 75.0000 3.6147 39.3110 0.3849 43.3107 
 43   1511   1210    453   2620   1469   1185    233   2757 -2.2266 1.5152 0.2266 0.0000 1.1154 0.0322 0.9195 0.0010 0.0022 62.0000 3.1186 38.2601 0.2941 41.6728 
 44   1559    876    100   2873   1259    406    100   2894 -2.5469 1.5883 0.3359 0.0000 3.5833 0.4592 1.1332 0.0001 0.0098 69.0000 3.5968 32.9672 0.2641 36.8281 
 45   1534   1224    451   2575   1458   1210    234   2764 -2.1641 1.6028 0.2500 0.0000 2.0000 0.0272 0.9219 0.0009 0.0018 94.0000 4.0757 37.7503 0.2825 42.1085 
 46   1515   1219    451   2601   1449   1203    265   2734 -2.3984 2.2101 0.2969 0.0000 2.9231 0.0235 0.9220 0.0009 0.0009 71.0000 3.8883 36.3221 0.3098 40.5202 
 47   1509   1199    464   2587   1466   1197    286   2763 -2.3828 1.6869 0.2812 0.0000 2.7692 0.0263 0.9351 0.0008 0.0028 114.0000 5.3133 35.3546 0.2538 40.9217 
 48   1513   1215    458   2766   1635   1267    100   2989 -2.0234 1.4246 0.1328 0.0000 1.1333 0.0304 0.9637 0.0008 0.0013 80.0000 3.6693 37.6737 0.2648 41.6078 
 49   2338   1039   1893    873   1977   1495   1112   1895 -1.8594 1.7281 0.1328 0.0000 0.0000 0.0158 0.8651 0.0009 0.0047 65.0000 2.6621 38.2402 0.2505 41.1528 
 50   2360   1066   1886    915   2008   1498   1159   1920 -2.3438 1.5502 0.2422 0.0000 2.5833 0.0141 0.8587 0.0010 0.0055 101.0000 4.3618 41.1219 0.3432 45.8269 
 51   1522   1216    457   2591   1455   1200    256   2751 -2.1953 1.6545 0.2500 0.0000 1.8824 0.0153 0.8692 0.0009 0.0009 86.0000 3.9114 35.7363 0.2908 39.9385 
