#    iter  GAMMA0   GAMMA1   GAMMA2   GAMMA3    BETA0    BETA1    BETA2    BETA3    energy  energy_ratio  variance  fidelity_exact  fidelity_sampled    ratio  corr_length   const_kernel  std energies  average distances      nit  time opt bayes  time qaoa  time opt kernel  time step 
  18 +279.000000 +553.000000 +547.000000 +121.000000 +702.000000 +272.000000 +197.000000 +114.000000 -1.456797 -77.911498 -0.364199 +1.893281 +0.103672 +0.109794 +0.000000 +0.207971 +1.211564 +0.000029 +0.009897 +68.000000 +1.335812 +0.317795 +0.069527 +1.723134 
  19 +167.000000 +310.000000 +360.000000 +295.000000 +543.000000 +333.000000 +734.000000 +241.000000 -1.451797 -77.911498 -0.362949 +1.357314 +0.023594 +0.024705 +0.000000 +0.092149 +1.040176 +0.000010 +0.009921 +97.000000 +1.871926 +0.367018 +0.071740 +2.310684 
  20 +225.000000 +554.000000 +501.000000 +107.000000 +676.000000 +256.000000 +237.000000 +110.000000 -2.412266 -77.911498 -0.603066 +1.904952 +0.249453 +0.251912 +2.542197 +0.086123 +1.011548 +0.000601 +0.009369 +57.000000 +1.143128 +0.325151 +0.072172 +1.540452 
  21 +100.000000 +245.000000 +351.000000 +259.000000 +528.000000 +262.000000 +663.000000 +226.000000 -2.226719 -77.911498 -0.556680 +2.260181 +0.279844 +0.275298 +2.511921 +0.091048 +0.995204 +0.000422 +0.008897 +85.000000 +1.643494 +0.323908 +0.076185 +2.043588 
  22 +100.000000 +241.000000 +379.000000 +286.000000 +541.000000 +251.000000 +660.000000 +247.000000 -1.866016 -77.911498 -0.466504 +2.111823 +0.116094 +0.120936 +0.000000 +0.097279 +1.049785 +0.000037 +0.009989 +177.000000 +3.335306 +0.319717 +0.076397 +3.731420 
  23 +223.000000 +557.000000 +501.000000 +104.000000 +677.000000 +255.000000 +233.000000 +108.000000 -2.390000 -77.911498 -0.597500 +2.038059 +0.250469 +0.247825 +2.632184 +0.092012 +1.055352 +0.000997 +0.004726 +72.000000 +1.412581 +0.325517 +0.081365 +1.819463 
  24 +227.000000 +559.000000 +504.000000 +107.000000 +675.000000 +254.000000 +240.000000 +109.000000 -2.438438 -77.911498 -0.609609 +1.956050 +0.294687 +0.287855 +3.441606 +0.094916 +1.049420 +0.000951 +0.006276 +83.000000 +1.621762 +0.346874 +0.081548 +2.050185 
  25 +229.000000 +565.000000 +507.000000 +107.000000 +673.000000 +251.000000 +244.000000 +107.000000 -2.527266 -77.911498 -0.631816 +1.912844 +0.327266 +0.324514 +3.829068 +0.097553 +1.056232 +0.000787 +0.005014 +67.000000 +1.320389 +0.317831 +0.084663 +1.722884 
  26 +232.000000 +582.000000 +513.000000 +106.000000 +667.000000 +243.000000 +254.000000 +100.000000 -2.497656 -77.911498 -0.624414 +1.983743 +0.357187 +0.360753 +4.517787 +0.101624 +1.110935 +0.000850 +0.009792 +59.000000 +1.175667 +0.318011 +0.089745 +1.583424 
  27 +231.000000 +573.000000 +511.000000 +106.000000 +671.000000 +247.000000 +249.000000 +105.000000 -2.560313 -77.911498 -0.640078 +1.799003 +0.356797 +0.355881 +4.451267 +0.103978 +1.093316 +0.000783 +0.003180 +85.000000 +1.667152 +0.320044 +0.076041 +2.063237 
  28 +231.000000 +573.000000 +514.000000 +103.000000 +674.000000 +245.000000 +252.000000 +111.000000 -2.499297 -77.911498 -0.624824 +1.997031 +0.327813 +0.326363 +4.605928 +0.104391 +1.100324 +0.000717 +0.003437 +70.000000 +1.377096 +0.328156 +0.080816 +1.786068 
  29 +232.000000 +573.000000 +511.000000 +112.000000 +664.000000 +252.000000 +246.000000 +100.000000 -2.483047 -77.911498 -0.620762 +1.915956 +0.344609 +0.343660 +4.225096 +0.108146 +1.117641 +0.000948 +0.005385 +94.000000 +1.842066 +0.319471 +0.076185 +2.237723 
  30 +235.000000 +574.000000 +503.000000 +104.000000 +679.000000 +240.000000 +250.000000 +100.000000 -2.649609 -77.911498 -0.662402 +1.695249 +0.334922 +0.338276 +3.731070 +0.113578 +1.157479 +0.000977 +0.004069 +120.000000 +2.295130 +0.318465 +0.078104 +2.691699 
  31 +245.000000 +576.000000 +490.000000 +105.000000 +689.000000 +230.000000 +252.000000 +100.000000 -2.692188 -77.911498 -0.673047 +1.749294 +0.273828 +0.275252 +2.387602 +0.114490 +1.207805 +0.000856 +0.009068 +87.000000 +1.697576 +0.347892 +0.108654 +2.154122 
  32 +100.000000 +240.000000 +298.000000 +212.000000 +499.000000 +274.000000 +669.000000 +191.000000 -2.090703 -77.911498 -0.522676 +2.961457 +0.284922 +0.287314 +1.900469 +0.122057 +1.249202 +0.000514 +0.009734 +86.000000 +1.674389 +0.304452 +0.074593 +2.053434 
