0.000000000000000000e+00 1.010709735551592381e+00 -7.121283047973521185e-01 7.014895917704765793e+01
1.000000000000000000e+00 1.554316536550956362e+00 -1.610855232974075291e+00 4.847691246523727671e+01
2.000000000000000000e+00 1.835819291952877519e+00 -1.531337942668760332e+00 4.326564466689320909e+01
3.000000000000000000e+00 2.380932147204413596e+00 -1.262940010296323523e+00 3.720160198064198198e+01
4.000000000000000000e+00 2.698478565872970414e+00 -1.016947530748674389e+00 3.554211296531230602e+01
5.000000000000000000e+00 2.823040537522221172e+00 -9.073841401895754721e-01 3.536695595577229767e+01
6.000000000000000000e+00 2.841641647875750909e+00 -9.000544610504801479e-01 3.536357076193593940e+01
7.000000000000000000e+00 2.859434126861882586e+00 -8.982727595645815244e-01 3.536180588881413911e+01
8.000000000000000000e+00 2.862226132139049195e+00 -9.000372563471602527e-01 3.536163841240966121e+01
9.000000000000000000e+00 2.861882960416644472e+00 -9.008278658922227455e-01 3.536162930196559984e+01
1.000000000000000000e+01 2.861728453051495258e+00 -9.009144630683703081e-01 3.536162917850128906e+01
1.100000000000000000e+01 2.861716022410818905e+00 -9.009165177865676721e-01 3.536162917793275540e+01
