0.000000000000000000e+00 9.353724812220465257e-01 -8.235749806670968898e-01 6.062415417934898443e+01
1.000000000000000000e+00 1.425957337726260654e+00 -1.501746917119039848e+00 4.254259458132651162e+01
2.000000000000000000e+00 1.781610192809522930e+00 -1.427553541584183350e+00 3.551896136799015835e+01
3.000000000000000000e+00 2.294610604347246952e+00 -1.205197202966323156e+00 2.964834494095538986e+01
4.000000000000000000e+00 2.610167861202874917e+00 -9.922506357749955042e-01 2.798529832276112828e+01
5.000000000000000000e+00 2.752620559576067993e+00 -8.974249395756728198e-01 2.777670720822963801e+01
6.000000000000000000e+00 2.799546566960362526e+00 -8.815389775102696612e-01 2.776040032297501270e+01
7.000000000000000000e+00 2.824881193390241130e+00 -8.798806841238456800e-01 2.775650455942744088e+01
8.000000000000000000e+00 2.828157357236031899e+00 -8.822138748666800145e-01 2.775620717441641006e+01
9.000000000000000000e+00 2.827562712042337445e+00 -8.832064731304252181e-01 2.775619137436403960e+01
1.000000000000000000e+01 2.827326964422541611e+00 -8.833287655872680277e-01 2.775619109826632069e+01
1.100000000000000000e+01 2.827308338778030006e+00 -8.833313238689287639e-01 2.775619109689992570e+01
