0 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 3.0145 0.5269 -0.8340 0.0956 0.2806 0.9810 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
1 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 0.1718 3.1374 -3.4668 0.6445 0.2806 0.9810 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 0.6604 0.4668 -2.0312 0.2795 0.2806 0.9810 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
3 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 2.0814 1.1513 0.0352 0.0059 0.2806 0.9810 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 2.8057 0.8049 0.1357 0.0107 0.2806 0.9810 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
5 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 3.0184 1.0716 -0.2686 0.0039 0.2806 0.9810 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
6 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 1.9284 2.9350 -3.1084 0.4913 0.2806 0.9810 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
7 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 2.1843 2.9100 -2.9600 0.4621 0.2806 0.9810 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
8 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 2.2538 0.2473 -2.6943 0.4045 0.2806 0.9810 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
9 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 2.7808 1.8932 -0.1455 0.0023 0.2806 0.9810 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
10 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 0.2229 3.1385 -3.4678 0.6447 0.2806 0.9810 0.2942 0.2888 100.0000 92.6217 0.4040 0.4229 93.4486 
11 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 0.2415 3.1416 -3.4678 0.6455 0.2841 0.8720 0.2065 0.2871 100.0000 94.0071 0.4086 0.5192 94.9348 
12 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 0.2515 3.1416 -3.4678 0.6455 0.2893 0.8254 0.2980 0.3793 100.0000 94.2517 0.4120 0.4400 95.1036 
13 2.9025 2.4932 2.7241 0.4649 1.9793 2.9025 0.6293 2.9276 1.9934 0.2239 2.3913 2.9930 0.4008 3.0654 0.1979 3.1416 0.2569 3.1416 0.2225 3.1416 0.3304 3.1416 0.2063 3.1416 0.2253 3.1416 0.2583 3.1416 -3.4678 0.6455 0.2956 0.8124 0.2516 0.3619 100.0000 94.9627 0.4028 0.4286 95.7941 
