0 1117  295  192  368 2303  915  363 2985  764 2553 -1.4062 5.4242 0.0765 0.0859 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
1  864 2551  727 2501 1720 1644 2348 2294 1159 1014 -1.4375 3.5394 0.1024 0.0547 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2  773  120 2746 2696  665 1979 2925  739 1855  202 -1.5781 4.3246 0.0806 0.1328 1.1875 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
3 1803 1433  406 1219  261 1196 1517 1946 2966 1586 -1.2891 5.4355 0.2150 0.0547 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4 2860 2579  894 2868  970 1828  638 2696 1806 2578 -1.7266 3.4758 0.1355 0.0781 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
5  288 2058 2644  633 1925  990 2698 1987 2094  550 -1.5391 2.8331 0.0335 0.0078 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
6 2135 2865 2203 2852 2131 2453 2238 1300 2320  766 -1.5781 3.6946 0.1946 0.0547 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
7  437  906 2444  836  701 1531 1855 2230 1587 2012 -0.8984 8.6589 0.1792 0.0156 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
8 1936 1894 2342 1527 1236 2335 2117 1751  983 2194 -1.5234 5.9994 0.0835 0.2344 1.2800 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
9 1556 2332 2995 1087  932 2123 2425  835 1397  272 -1.1641 7.0044 0.0681 0.0312 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
10 1517 2198 1432 1999 2108  181 1239 1652  858 1751 -2.0156 5.5588 0.0731 0.1719 2.0769 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
11 2302 1691 2097  697 2978  373 1598 1406  440 1446 -1.9219 2.2931 0.1261 0.0781 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
12  180 2801 1062 1929 2687 2265 1078  661  258 1178 -2.0391 1.1402 0.0274 0.0703 0.0000 0.3559 0.9131 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
