0 2601  149 1606 2672 2461 1300 2357 2422  201 1253 1493  589 -1.1562 10.2746 0.1193 0.0156 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
1 2923 1760  433 1529 1788 2827 1226 1863  671  328  948 2959 -0.9219 9.0332 0.0894 0.0625 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2 2057  624 1416  134  967  725 1476 1803  260 2480 1212  685 -1.7031 5.5175 0.1726 0.1641 1.1538 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
3 1581 2443  723 1634 1677  100  959  998  914 2196 1357 2291 -1.8984 5.2258 0.3305 0.1641 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4 1436 2191 2859 1077 2729 2404 1072 2917 1082 2000 2967 1262 -1.9688 2.8179 0.1453 0.2422 1.4118 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
5  767 1543 2387 2036  693 2612  316 2624 2033 2677 2675 2781 -1.4141 5.0004 0.0742 0.0625 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
6 2732  775 1779 2276 2410  569 1938 2061 2453 2326 2271  327 -1.9141 6.9296 0.1437 0.1250 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
7 2191 1893 2164  854 2011 1477 1834  949 1144 1385  254 2207 -1.3984 3.5014 0.1017 0.0391 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
8  193  411  571 2907  117 1081  449  569 2218 1659 1978 1202 -0.8984 8.9581 0.2091 0.0000 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
9  948 1354 2715  538 1250 1687  646 2836 2648 1457  752 2057 -1.9375 4.5157 0.0435 0.0000 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
10 1365 2922 2017 1976  327  426 2161 2268 1766  176  983 1718 -1.8047 1.9694 0.1738 0.0391 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
11 2310 1111  229 1164  489 2262 2451  251 1886 1010  452 2676 -1.6172 7.0255 0.0933 0.0469 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
12  310 2633 2489  528 1017 1819 2757  473 2277 2827 1753 1523 -1.2266 4.0821 0.0719 0.0469 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
13 1809 2058 1401 2177 1892 1127 2053 1225 1505 2973 2827 1678 -2.2656 4.2911 0.0341 0.0859 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
14  526  846  346 1826 2154 1997 1360  173  482 1714 1603 1069 -1.5312 9.4163 0.2002 0.1641 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
15  574 2735 2578  279 2688  356 1602 1542 2893  501 2357 2498 -1.3594 7.2557 0.0827 0.0469 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
16 1258 1155 1957  690 1534  940 2958  779 1686 1842 2115  149 -1.6406 1.8541 0.1596 0.0547 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
17 2478 1659 1184 2487  567 2538  762 2367 2819  922  138 1919 -1.9297 2.0659 0.1993 0.0391 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
18 1866  330  979 2853 2976 1855 2628 1300 1291  602 2506  463 -1.2812 5.5266 0.2020 0.0391 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
19  971 2393  957 1309 1302 2925  217 1585  809  792  627  870 -1.5234 4.9601 0.3576 0.0234 0.0000 0.3276 0.9075 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
20 1812 2057 1400 2175 1894 1121 2048 1229 1505 2970 2823 1675 -2.1641 1.8233 0.0353 0.1016 0.0000 0.3276 0.9075 0.0002 0.0096 68.0000 3.7747 0.3536 1.4698 5.5981 
21 1811 2058 1400 2176 1893 1123 2050 1227 1505 2972 2825 1677 -2.2266 2.5388 0.0350 0.1094 0.0000 0.3090 0.8304 0.0001 0.0086 63.0000 3.5120 0.4258 1.4073 5.3452 
22 1811 2058 1400 2176 1893 1123 2050 1227 1505 2973 2826 1677 -2.2188 2.6132 0.0350 0.0938 0.0000 0.3099 0.7856 0.0002 0.0096 63.0000 3.5404 0.3531 1.5924 5.4859 
23 1813 2059 1400 2177 1894 1121 2049 1228 1505 2974 2827 1677 -2.2031 2.0687 0.0341 0.1172 0.0000 0.3281 0.7645 0.0002 0.0096 58.0000 3.1583 0.4261 1.6603 5.2447 
24 1818 2063 1399 2178 1898 1115 2048 1231 1505 2980 2831 1677 -1.9297 3.3415 0.0351 0.1172 0.0000 0.3702 0.7610 0.0001 0.0091 55.0000 2.8504 0.4236 1.5448 4.8187 
25 2094  654 1410  142  958  730 1486 1754  285 2459 1224  682 -1.8047 2.6623 0.1692 0.1016 0.0000 0.0160 0.7750 0.0000 0.0278 600.0000 31.5488 0.2277 1.2460 33.0224 
26 2111  668 1407  145  953  732 1490 1730  297 2448 1229  680 -1.8750 2.7717 0.1664 0.1562 1.1429 0.0166 0.7795 0.0001 0.0098 93.0000 5.2099 0.4132 1.1651 6.7882 
27 1804 2010 1426 2155 1834 1188 2074 1225 1490 2945 2794 1649 -2.1406 2.7675 0.0500 0.0547 0.0000 0.4204 0.8560 0.0000 0.0093 83.0000 4.9315 0.3545 1.3077 6.5937 
