  0   1351   2681   1102    295   2063    101 -2.0703 0.6958 0.0000 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  1    991    558    962   1614    591    382 -1.5234 1.3380 0.0781 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  2   2205    487   1663   2014   2648    810 -1.2344 0.7635 0.0078 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  3   1931   2142   2943   1087   1830   2200 -1.7891 1.0654 0.0312 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  4   1163   1780    121   1183   1869   1468 -1.8828 0.5610 0.0000 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  5   1464   1200   1389   2752    990    574 -1.4922 1.9684 0.1094 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  6    764   1102   1958    600   2179   1401 -1.9609 0.8095 0.0234 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  7    398   1446   1445   2276   2329   2493 -1.6016 0.9187 0.0312 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  8   2387    145   1158   2571    834   1768 -1.5234 1.0388 0.0391 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
  9   2586   2281    474    737   1463   2350 -2.1719 1.0883 0.0078 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 10   1626   2097   2827    925    304   2614 -1.8047 1.4497 0.1484 0.0000 1.1875 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 11    561   2523   2490   1484   1380   2712 -2.6094 1.0746 0.2812 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 12    921   1884    289   2888   2879   1992 -2.0859 0.7878 0.0938 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 13   2518   2758   1794   1941   2740    426 -1.4688 1.2904 0.0469 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 14   2893   1387   2279   2183   1192   1852 -1.6797 0.8179 0.0078 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 15   2838    926   2254    197    710    948 -1.6641 1.3115 0.0391 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 16    134    303   2662   2441    238   1224 -1.5703 0.5934 0.0234 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 17   1767   1636    624   1260   2485   1599 -2.1328 1.2814 0.0000 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 18   2063   2971    809    425    430    971 -1.5859 1.3154 0.0312 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 19    353    767   2075   1756   1688   2884 -2.2344 1.1887 0.1094 0.0000 0.0000 0.3031 0.9144 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
 20    508   2472   2479   1463   1383   2753 -2.2344 1.3935 0.1562 0.0000 0.0000 0.3031 0.9144 0.0007 0.0088 27.0000 0.7889 28.1787 0.2580 29.2256 
 21    570   2532   2491   1487   1379   2704 -1.9766 1.1254 0.1484 0.0000 0.0000 0.0454 0.8426 0.0005 0.0012 55.0000 1.7400 26.8807 0.1674 28.7881 
 22    556   2518   2489   1482   1380   2715 -2.4062 1.7077 0.2812 0.0000 1.5000 0.0100 0.9823 0.0008 0.0003 61.0000 1.7609 28.6358 0.1282 30.5250 
 23    560   2522   2492   1485   1383   2720 -2.0703 1.4675 0.1562 0.0000 1.2500 0.0100 0.8515 0.0009 0.0005 65.0000 2.0862 27.5236 0.1965 29.8063 
 24    555   2517   2486   1480   1376   2705 -1.9297 1.5147 0.1406 0.0000 1.2857 0.0100 0.9245 0.0008 0.0003 58.0000 1.6714 27.6666 0.1392 29.4771 
 25    526   2490   2482   1468   1382   2746 -2.3906 1.3738 0.1875 0.0000 0.0000 0.0100 1.0359 0.0009 0.0016 58.0000 1.7510 27.2090 0.1549 29.1150 
 26    525   2483   2479   1478   1393   2743 -2.1797 0.9990 0.0859 0.0000 0.0000 0.0100 0.9892 0.0009 0.0027 64.0000 1.9837 28.2288 0.1459 30.3584 
 27    522   2492   2490   1459   1372   2752 -2.2812 1.1486 0.1875 0.0000 0.0000 0.0100 0.9738 0.0010 0.0023 70.0000 2.4669 27.1449 0.1802 29.7920 
 28    526   2492   2467   1458   1378   2749 -2.3438 1.1093 0.1797 0.0000 0.0000 0.0100 0.9429 0.0006 0.0011 64.0000 2.0625 27.7861 0.1412 29.9897 
 29    516   2499   2473   1472   1373   2748 -2.4609 1.4945 0.2734 0.0000 1.9444 0.0100 0.9115 0.0006 0.0015 82.0000 3.0286 26.3299 0.1395 29.4981 
