48 2.5900 2.7088 -1.1890 0.1773 1.8110 0.2156 1.3016 -1.5120 0.0006 0.0003 27.1978
49 2.1287 2.6372 -0.6050 0.2428 2.3950 0.2226 1.3611 -1.5120 0.0038 0.0009 27.9363
50 1.6497 1.3342 -0.2960 0.0129 2.7040 0.2253 1.3888 -1.5120 0.0019 0.0006 28.7437
51 0.3559 2.7382 -1.3570 0.1671 1.6430 0.2268 1.3918 -1.5120 0.0006 0.0007 29.6642
52 2.7822 2.5496 -1.3560 0.1530 1.6440 0.2322 1.4420 -1.5120 0.0005 0.0007 30.5774
53 0.4403 2.6413 -1.3840 0.1735 1.6160 0.2383 1.4996 -1.5120 0.0003 0.0002 31.3672
54 0.4949 2.7598 -1.2520 0.1742 1.7480 0.2428 1.5449 -1.5120 0.0005 0.0006 32.4190
55 0.6418 0.7505 1.5420 0.0004 4.5420 0.2459 1.5886 -1.5120 0.0035 0.0008 33.2596
56 1.7545 0.1000 0.2230 0.0200 3.2230 0.2372 1.4396 -1.5120 0.0018 0.0008 34.3857
57 0.3223 2.6322 -1.3450 0.1602 1.6550 0.2318 1.3477 -1.5120 0.0008 0.0006 35.3432
58 3.1416 1.9593 0.0400 0.0625 3.0400 0.2366 1.3936 -1.5120 0.0018 0.0010 36.4908
59 2.2447 2.0939 0.2460 0.0110 3.2460 0.2380 1.3919 -1.5120 0.0029 0.0005 37.3172
60 2.7771 2.6576 -1.4520 0.1684 1.5480 0.2392 1.3961 -1.5120 0.0005 0.0003 38.2453
61 2.8292 2.6203 -1.3370 0.1573 1.6630 0.2415 1.4194 -1.5120 0.0005 0.0005 39.1852
62 1.2021 1.5849 0.0820 0.0632 3.0820 0.2448 1.4522 -1.5120 0.0015 0.0009 39.9573
63 0.4211 2.6163 -1.3380 0.1696 1.6620 0.2448 1.4451 -1.5120 0.0006 0.0005 40.8838
64 2.7829 2.7220 -1.3670 0.1684 1.6330 0.2481 1.4804 -1.5120 0.0005 0.0006 41.7640
65 2.7509 2.6518 -1.3920 0.1710 1.6080 0.2512 1.5130 -1.5120 0.0004 0.0007 42.7329
66 3.1416 1.3744 0.1210 0.0625 3.1210 0.2540 1.5447 -1.5120 0.0008 0.0008 43.8742
67 0.4045 2.7012 -1.3980 0.1739 1.6020 0.2542 1.5238 -1.5120 0.0008 0.0010 44.8178
68 0.7149 2.3657 -0.5320 0.0938 2.4680 0.2568 1.5535 -1.5120 0.0013 0.0005 45.8207
69 2.7304 2.5705 -1.3760 0.1614 1.6240 0.2610 1.5946 -1.5120 0.0007 0.0009 46.7624
70 0.3289 2.7092 -1.3640 0.1641 1.6360 0.2646 1.6327 -1.5120 0.0004 0.0005 47.8292
71 2.7406 2.7946 -1.3230 0.1659 1.6770 0.2675 1.6694 -1.5120 0.0006 0.0008 48.7172
72 1.7445 2.6767 -0.5650 0.3117 2.4350 0.2718 1.7249 -1.5120 0.0012 0.0005 49.5478
