0 0.5204 1.3195 2.0397 1.3131 2.0839 0.5229 3.0208 2.7109 2.9585 3.0084 1.7432 3.1058 2.4724 2.3571 2.1388 2.3788 0.7890 1.1394 -0.8970 0.0736 2.1030 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
1 0.2547 0.6173 1.8718 2.6136 2.9984 1.1299 1.3061 0.8060 2.7938 1.2000 1.6876 0.3874 1.3564 0.7997 2.0014 1.6231 2.5192 2.4619 -0.1620 0.0271 2.8380 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
2 0.7459 2.2983 2.0574 2.6035 0.1147 2.8233 1.7600 2.7576 2.3117 0.4870 2.4583 2.5594 1.5243 3.0373 2.9391 2.9319 2.6022 1.5361 -0.6460 0.1060 2.3540 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
3 0.8363 2.4642 2.8071 1.3805 1.9055 1.5540 2.4997 0.3873 3.1328 2.3893 2.7593 0.4404 0.8616 3.1096 2.5227 1.2105 2.5716 2.4469 -0.5440 0.0648 2.4560 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
4 2.0056 1.2011 2.9115 2.2296 0.4891 1.6841 1.9653 2.5863 1.2256 2.1547 2.8743 2.8850 2.5330 0.7970 1.4704 1.4600 0.8356 2.0520 -0.4020 0.0482 2.5980 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
5 0.6504 2.6707 2.2547 1.9028 1.7159 2.8938 2.9271 1.9561 1.4780 1.4669 2.7035 1.7204 2.1018 0.5034 2.5391 3.0092 1.8017 0.4909 -0.3150 0.0251 2.6850 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
6 0.1474 0.9177 0.8986 2.2996 3.1155 2.2511 2.4180 1.9892 1.7277 2.7821 0.9603 1.2086 0.6694 1.7133 1.3513 2.5514 2.4552 2.0692 0.7320 0.0079 3.7320 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
7 1.2562 3.0372 0.2986 0.1501 1.6922 0.5403 2.2092 1.8442 1.6199 0.9013 2.7921 0.9945 0.2822 1.0531 2.1051 2.7342 1.7377 2.1034 0.2640 0.0366 3.2640 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
8 0.4543 1.8660 0.5699 0.7252 1.1024 3.0365 2.4281 1.6250 1.3570 0.8018 0.4629 0.2896 1.3196 1.2261 1.9505 1.1689 2.3747 1.1109 0.4770 0.0473 3.4770 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
9 0.9687 0.6343 2.2397 1.2151 0.8079 1.3143 0.5835 0.2437 2.0238 0.8753 2.7610 2.6917 0.9950 1.9871 2.5513 0.7180 0.6384 2.2931 0.1790 0.0756 3.1790 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
10 1.1027 1.7026 0.9420 1.0280 2.0732 2.6169 2.1191 0.9603 1.5399 2.5614 1.9709 2.4748 1.1034 0.3638 2.9150 0.1652 2.3971 1.4114 0.3430 0.0580 3.3430 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
11 0.9497 1.9528 1.8010 0.3982 0.8451 3.0329 2.9343 1.5931 3.0789 0.7762 2.6854 2.6940 3.0311 3.0381 1.8066 0.6388 2.2030 1.6081 0.4130 0.0419 3.4130 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
12 2.6424 0.4833 0.1226 0.5118 0.1607 2.7074 2.0753 0.1075 2.9219 1.8003 2.0250 0.7050 1.7126 1.3282 2.7854 1.6079 0.5256 1.8561 0.1840 0.0366 3.1840 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
13 2.2684 1.9156 0.6672 0.3865 1.4779 1.9713 1.0691 2.5377 3.0860 2.3951 0.4580 1.2843 0.5959 2.6698 0.5687 2.8618 0.3426 0.8207 0.7780 0.0015 3.7780 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
14 1.5454 1.8587 1.4795 1.2397 1.0395 1.3067 2.7936 2.0758 2.3468 1.3393 0.3529 0.5561 0.4415 2.0002 1.7528 2.9909 0.7067 2.4696 -0.2270 0.1267 2.7730 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
15 1.6018 1.9640 0.5303 0.9108 2.4870 0.6806 1.7252 0.3135 1.5972 1.6912 1.6611 3.1082 2.3493 1.6817 1.8440 1.2826 2.3016 0.1253 0.8260 0.0712 3.8260 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
16 0.9075 2.1411 2.6662 1.3477 2.8520 1.2810 1.3443 2.2858 0.7318 2.3616 0.6685 3.0248 1.1642 2.3491 1.9992 2.4644 1.9587 0.7054 0.0100 0.1085 3.0100 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
17 1.8414 1.8287 1.1447 1.4894 2.8735 0.2419 0.7966 2.9196 1.8037 2.6745 2.9574 2.2007 1.5307 1.8317 2.0526 1.6502 0.1378 2.9540 0.7380 0.0171 3.7380 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
18 1.4765 3.0378 3.0956 2.0491 1.9998 3.1363 1.6158 1.3176 3.0834 0.2552 2.0247 2.3130 1.1983 0.9740 0.8794 1.4115 1.7322 0.8474 0.4080 0.0567 3.4080 0.1000 0.9900 0.0000 0.0000 0.0000 0.0000
19 2.5000 1.3327 1.4629 2.4264 1.9954 2.1653 2.7721 2.8485 0.5544 1.6098 2.9155 2.1013 1.5186 2.8774 2.5187 1.5909 0.7976 0.9565 -0.6520 0.1637 2.3480 0.1000 0.9900 -0.8970 0.0000 0.0000 11.8070
