# iter                     point                    energy   fidelity  variance  corr_length const_kernel std_energies average_distances nit time_opt_bayes time_qaoa time_opt_kernel time_step 
   0 +2.00000000 +1.00000000 +2.00000000 +0.00000000 -5.03628324 +0.35666699 +11.18402190 +2.25312860 +12.70304963 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   1 +2.00000000 +1.00000000 +0.00000000 +3.00000000 -4.70401323 +0.37212868 +13.77517323 +2.25312860 +12.70304963 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   2 +1.00000000 +2.00000000 +1.00000000 +0.00000000 -3.40634869 +0.03985153 +6.36045355 +2.25312860 +12.70304963 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   3 +0.00000000 +0.00000000 +1.00000000 +1.00000000 -5.33658073 +0.35424904 +9.24584781 +2.25312860 +12.70304963 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   4 +1.00000000 +0.00000000 +0.00000000 +1.00000000 -5.33658073 +0.35424904 +9.24584781 +2.25312860 +12.70304963 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   5 +1.00000000 +1.00000000 +1.00000000 +2.00000000 -4.42944009 +0.03639286 +5.97245100 +2.25312860 +12.70304963 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   6 +0.00000000 +2.00000000 +2.00000000 +2.00000000 -3.79892376 +0.09802430 +7.51089510 +2.25312860 +12.70304963 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   7 +2.00000000 +0.00000000 +3.00000000 +2.00000000 -4.84352100 +0.21929446 +8.83319970 +2.25312860 +12.70304963 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   8 +0.00000000 +1.00000000 +2.00000000 +0.00000000 -4.50000000 +0.03125000 +2.25000000 +2.25312860 +12.70304963 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
   9 +1.00000000 +2.00000000 +0.00000000 +1.00000000 -5.09313568 +0.06709435 +2.61506232 +2.25312860 +12.70304963 +0.00000000 +0.00000000        0 +0.00000000 +0.00000000 +0.00000000 +0.00000000 
  10 +2.41986060 +0.01000000 +2.29291539 +0.01000000 -4.43302658 +0.02491448 +2.26351620 +2.25312860 +12.70304963 +0.00031572 +0.00939397       39 +0.39432502 +0.00000000 +0.01920104 +0.41352606 
  11 +0.24640858 +0.01000000 +0.01000000 +0.98030105 -5.27894541 +0.13552991 +3.49016000 +1.79112380 +9.92108988 +0.00023596 +0.00954450       39 +0.38689780 +0.00000000 +0.01629019 +0.40318894 
  12 +0.82389138 +0.02126471 +0.01000000 +0.97626309 -5.62571779 +0.35152335 +7.71583452 +1.83699421 +9.50764182 +0.00030130 +0.00965353       34 +0.34910679 +0.00000119 +0.01661491 +0.36572385 
  13 +1.44165967 +0.51163320 +0.01000000 +0.92749512 -4.52621430 +0.00431088 +2.90231024 +1.80140652 +9.31164147 +0.00014149 +0.00856530       39 +0.38857913 +0.00000000 +0.01641798 +0.40499711 
  14 +0.59597477 +0.01000000 +0.01000000 +1.38196423 -5.63543992 +0.15233060 +2.64819135 +1.57352105 +9.45850107 +0.00066884 +0.00478133       53 +0.50301409 +0.00000000 +0.01841903 +0.52143407 
  15 +0.55424035 +0.01000000 +0.01000000 +1.52127048 -4.77075114 +0.04862601 +2.26757430 +1.62127026 +9.51707433 +0.00098171 +0.00746863       44 +0.43086100 +0.00000000 +0.01899791 +0.44985890 
  16 +0.59328448 +0.01000000 +0.39124526 +0.78719768 -4.50211829 +0.26800502 +11.33466523 +1.43715330 +8.79206910 +0.00041289 +0.00481290       39 +0.39867306 +0.00000000 +0.01912594 +0.41779995 
  17 +0.01000000 +0.01000000 +1.72868683 +1.05932604 -4.60952830 +0.29553933 +12.80447243 +1.13089627 +9.73125335 +0.00093232 +0.00961714       48 +0.46277523 +0.00000095 +0.02016377 +0.48294091 
  18 +2.09446492 +0.99322496 +2.56854017 +0.62756116 -5.21747808 +0.14133935 +6.35758057 +1.11252735 +9.28049518 +0.00022847 +0.00956272       21 +0.24415493 +0.00000000 +0.01981497 +0.26397085 
  19 +2.50443410 +1.08341225 +2.55272872 +1.06993997 -4.75338668 +0.08459720 +3.46196589 +1.19327649 +9.09862733 +0.00022812 +0.00840627       22 +0.25239706 +0.00000000 +0.01733685 +0.26973486 
  20 +1.68744269 +0.86922204 +2.87452175 +0.31850181 -4.49927193 +0.26627302 +13.16716630 +1.21135989 +8.69088326 +0.00020836 +0.00855619       25 +0.27700901 +0.00000000 +0.02052808 +0.29753804 
  21 +0.01000000 +0.61305788 +0.01000000 +1.08662685 -4.51982899 +0.03244895 +2.24753367 +1.12704981 +8.14058596 +0.00096765 +0.00899332       42 +0.41098881 +0.00000000 +0.01956797 +0.43055677 
  22 +1.38152031 +2.12601825 +0.01000000 +1.60196056 -4.38838565 +0.35134995 +15.19511159 +1.10304261 +8.04265069 +0.00072327 +0.00961312       29 +0.30955601 +0.00000000 +0.02169800 +0.33125401 
  23 +1.98591183 +0.74122080 +2.10772644 +0.79157255 -4.48365082 +0.05942516 +4.23066598 +1.05621895 +7.56930776 +0.00034338 +0.00811889       21 +0.24689817 +0.00000000 +0.02430582 +0.27120399 
  24 +2.48496882 +1.22449761 +2.48273150 +0.12275236 -6.44494735 +0.36484829 +4.39880482 +1.09175703 +8.22955032 +0.00055777 +0.00879514       28 +0.30035114 +0.00000000 +0.02072692 +0.32107806 
  25 +2.80794763 +1.42753162 +2.59897444 +0.01000000 -5.27014341 +0.09962007 +2.39141655 +1.03882637 +9.72954165 +0.00080034 +0.00856707       35 +0.35623884 +0.00000000 +0.01900411 +0.37524295 
  26 +2.46900946 +1.09226262 +2.47813254 +0.09694825 -6.53834794 +0.45711722 +5.79620468 +0.82581994 +7.95299191 +0.00071593 +0.00443282       30 +0.31922889 +0.00000000 +0.02109504 +0.34032393 
  27 +2.48966822 +1.03694476 +2.49164786 +0.08217153 -6.43494613 +0.44849863 +6.23198001 +0.79627803 +7.99729543 +0.00079896 +0.00396110       26 +0.28624582 +0.00000000 +0.02384686 +0.31009269 
  28 +2.44801992 +1.05752353 +2.53355548 +0.03430286 -6.17264235 +0.39720095 +6.19837416 +0.80088879 +7.98038315 +0.00086263 +0.00462742       38 +0.38305712 +0.00000095 +0.02755380 +0.41061187 
  29 +2.53995573 +1.07752167 +2.37971001 +0.16885113 -6.95625334 +0.52646615 +5.23665219 +0.80704713 +7.90871557 +0.00074280 +0.00403039       29 +0.31038284 +0.00000000 +0.02111101 +0.33149385 
  30 +2.63780874 +1.04748693 +2.26433006 +0.21998360 -7.21059693 +0.53838099 +4.20348797 +0.74505002 +8.15533914 +0.00085855 +0.00485044       26 +0.28708005 +0.00000095 +0.02274728 +0.30982828 
  31 +2.71416600 +1.02845905 +2.18478111 +0.23934251 -7.10880130 +0.48364725 +3.74546171 +0.73114475 +8.46649114 +0.00090128 +0.00506987       28 +0.30282426 +0.00000000 +0.01827312 +0.32109809 
  32 +2.73197391 +1.02318701 +2.16901253 +0.23805495 -7.04108531 +0.46229119 +3.69942822 +0.73559157 +8.39879035 +0.00061276 +0.00386559       30 +0.31979895 +0.00000000 +0.01941204 +0.33921099 
  33 +2.72806169 +0.97532782 +2.25969416 +0.27514316 -7.45718672 +0.59676418 +3.79998003 +0.73534977 +8.33838606 +0.00069207 +0.00370253       25 +0.27834606 +0.00000000 +0.01915002 +0.29749608 
  34 +2.82538583 +0.88951848 +2.29903670 +0.32286643 -7.21751727 +0.54915755 +4.07013062 +0.72392494 +8.41794692 +0.00078080 +0.00462138       26 +0.28650188 +0.00000000 +0.01664400 +0.30314708 
  35 +2.96318643 +0.86304561 +2.16579376 +0.32453388 -6.30274860 +0.34901438 +4.46932176 +0.73191085 +8.38558742 +0.00097740 +0.00695663       26 +0.28816390 +0.00000095 +0.01861715 +0.30678201 
  36 +2.67859267 +0.96534575 +2.34109903 +0.33889376 -7.87772551 +0.72606254 +3.52255834 +0.66027563 +7.93979415 +0.00067817 +0.00192875       32 +0.33811116 +0.00000095 +0.02235484 +0.36046696 
  37 +2.66866581 +0.96100837 +2.39402363 +0.41528968 -8.00477240 +0.75217410 +3.22095860 +0.60474020 +8.16337932 +0.00079162 +0.00208309       31 +0.32740188 +0.00000000 +0.01675010 +0.34415197 
  38 +2.67514044 +0.96381500 +2.41847622 +0.43829270 -7.97437358 +0.73536682 +3.17356677 +0.58101071 +8.39408679 +0.00024333 +0.00143461       38 +0.38572216 +0.00000000 +0.01620889 +0.40193200 
  39 +2.67672322 +0.96588489 +2.42073104 +0.43950497 -7.97102850 +0.73411115 +3.17822269 +0.57700930 +8.45346927 +0.00065203 +0.00292757       33 +0.34748387 +0.00000000 +0.01849389 +0.36597776 
  40 +2.67829408 +0.97974326 +2.41153398 +0.44252167 -7.98210671 +0.74151957 +3.24577082 +0.57559604 +8.47497944 +0.00094723 +0.00523140       34 +0.35578489 +0.00000000 +0.01861620 +0.37440109 
  41 +2.67432722 +0.94866939 +2.43082953 +0.43703270 -7.93912319 +0.72145373 +3.15541750 +0.57462719 +8.48870394 +0.00099505 +0.00346043       35 +0.36192107 +0.00000095 +0.01943994 +0.38136196 
