0 2677  194 2820 2060 1803 2849 1495 2349  229 2241 2171 1436 2362 2602  661 1780 2241 2069 -0.8516 16.0959 0.0960 0.0078 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
1 2305  963  857  330 2164  766 2057  797  758 1169 1183  561  590  354 1137 2914  113  792 -1.7734 6.9640 0.2317 0.2500 1.1481 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
2 1147 2345  534 1100 2089   54 1640  695 1872 1343  773  408 1929 1748  798  496  785 2581 -2.0781 3.9781 0.2438 0.2266 1.4444 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
3  720 2199 1049 1405 1209 2431   86 1717  541  664   92  964 2543 2350 2264 1075  419 1596 -1.8281 4.4112 0.1712 0.0312 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
4 2898 1715 2503 1337 2988 2392 2779 1419 2394 1620 1629 1732 1636 1975 1456 1095 2493 2459 -1.7891 4.3095 0.2288 0.0312 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
5  530 1652 2302 2549 1325 2702 1850 1269 2486  243 2785  739  441  674 1266 2643 2581 1694 -1.2969 8.0687 0.2167 0.1328 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
6 2846 1989  193 1057 2459 1841  241  494  361  421 1956 2526 2663 1548 2895  117 1317 1195 -1.8281 4.8836 0.1173 0.0234 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
7 1464 2861  247 1574 2394  247 1032 2867  842 2299  199 1268  905 2489  534 2243 2983  587 -1.1406 3.4919 0.1927 0.1250 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
8 1922 2531  697 2764  496 1655 2601 1105 2660 1835  352 1229  937 1378   61 2473  942 2807 -1.3672 5.2106 0.0897 0.0469 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
9 1811 2737 1197 2346 1038  370 2282 2587 1049 2418 1711  169 1981  498 2057  781 2820 1857 -1.6641 5.8626 0.1290 0.0391 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
10 1058  281 2913 2577 1583 2868  907 1527 2756  968 2872 1907 1239 2714 1649 1949 2282  736 -0.6172 7.1515 0.2182 0.0156 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
11  889 1170 1734 2982 1829 2083 1774 2011 2879 1998 2477 2270 1172  114 1922 2801  307 2346 -1.7109 4.5063 0.1684 0.1250 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
12  230  387 1518  489  200  596 1197 1948 1499 1777  515 2117 2801 1143  242  839 1137  253 -1.0156 9.6061 0.2167 0.0156 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
13 2176  610 2607  689  124 1208  373  171 1244  814 2017 2874 1461 2209 2254 1630 2022 1040 -0.8047 7.8907 0.1291 0.0000 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
14 2105 1361 1955 1949 2610 1044 2858  240 1575 2700 2563 2606 2192 1352  402 2298  909 2940 -0.2969 13.7064 0.1467 0.0469 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
15 1371 1938 1632  107  672 1384  621 2749 2007 2989 1258  848  684  953 2504 2014  583  138 -1.7500 3.0236 0.1071 0.0859 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
16  145 1430 1372 1754 2797  876 1338 2252  128 2846 1521 2734  166  288 1758  256 1487 2215 -1.4297 4.1210 0.1969 0.0078 0.0000 0.0882 0.9116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
