 27   3000    100   1782   2801   1706    100   3000    100    100   3000 -1.3516 1.0959 0.0000 0.0259 0.0000 1.9301 1.4898 0.0001 0.0099 215.0000 448.8028 0.4230 0.0037 449.2295 
 28   3000    227   2147    948   1516    791   3000    612    682   1514 -2.6719 1.4348 0.3750 0.0895 3.6923 0.8980 3.0984 0.0001 0.0094 77.0000 160.9976 0.3886 0.0023 161.3886 
 29    100   3000   3000   3000    100   1198   3000   2967   1057    100 -1.8750 0.7087 0.0625 0.0196 0.0000 1.4214 2.2379 0.0001 0.0100 226.0000 453.2735 0.4478 0.0030 453.7244 
 30    100   3000   3000   3000   1305    100    270   1897    311   1115 -1.4844 1.2596 0.0234 0.0259 0.0000 1.1489 2.8399 0.0000 0.0096 147.0000 263.6142 0.3811 0.0030 263.9982 
 31    100   2272   1954   2401   1447   1503   3000    585   1357    408 -2.1016 1.5408 0.1484 0.2291 1.2667 1.5271 7.8633 0.0000 0.0096 90.0000 162.6654 0.4457 0.0022 163.1132 
 32   3000    100   2026    478   1303    629   3000    456    311   1484 -1.9688 1.1329 0.0938 0.0177 0.0000 1.1202 2.1375 0.0001 0.0099 103.0000 184.6638 0.3349 0.0021 185.0009 
 33   2776    462   2068   1241   1511    431   2922    801    985   1551 -2.5938 1.5030 0.3359 0.1460 2.8667 0.2945 6.1931 0.0001 0.0091 57.0000 103.9483 0.3739 0.0022 104.3244 
 34   3000    100   2397   1541   2094    673   3000    953   1288   1478 -2.3438 0.7943 0.1328 0.0119 0.0000 0.9426 0.8735 0.0004 0.0099 98.0000 177.1591 0.4268 0.0023 177.5882 
 35   2954    520   1978   1530   1194    725   3000    804    917   1669 -2.7422 1.5787 0.4688 0.1350 3.7500 0.5919 0.5847 0.0003 0.0090 80.0000 146.8118 0.3944 0.0025 147.2087 
 36   3000    100   3000   1814    100    100   3000   1727    834    854 -2.0469 0.9899 0.1016 0.0892 0.0000 1.2429 0.5963 0.0003 0.0098 164.0000 294.3476 0.3751 0.0022 294.7249 
 37    100   3000    100    696   3000   3000    100   2140   3000   3000 -1.9062 0.8100 0.0469 0.1284 0.0000 1.9457 5.6966 0.0001 0.0098 248.0000 445.6946 0.4566 0.0025 446.1537 
 38   2818    484   1929   1288   1471    871   3000    762    850   1761 -2.8359 1.5083 0.4375 0.1388 3.5000 0.6614 7.2139 0.0001 0.0098 62.0000 113.7676 0.3885 0.0024 114.1585 
 39   2675    560   1515   1705   1311   1041   3000    741    924   1631 -2.8359 1.4453 0.4766 0.1606 5.0833 1.7843 7.6701 0.0002 0.0096 81.0000 147.5912 0.3896 0.0023 147.9830 
 40   2889    671   1287   1793   1389    965   3000    541    805   1269 -2.4453 0.9261 0.1719 0.1351 0.0000 1.3629 1.4623 0.0002 0.0099 75.0000 136.8093 0.3763 0.0022 137.1878 
 41   2018    197   1575   1707    665   1054   3000    417   1206   1892 -1.5859 1.1422 0.0156 0.1610 0.0000 1.8586 2.8241 0.0001 0.0098 106.0000 193.1066 0.3604 0.0023 193.4692 
 42   2841    485   1663   1501   1501   1090   3000   1002    741   1747 -2.7031 1.3127 0.3984 0.1919 2.8333 0.4625 8.8133 0.0001 0.0095 82.0000 148.8522 0.4011 0.0024 149.2557 
 43   3000    832   1773   1734   1948    812   3000   1301    437   1307 -2.0625 1.2402 0.1016 0.1449 0.0000 1.8736 4.2484 0.0003 0.0100 84.0000 152.2741 0.4626 0.0023 152.7390 
 44    100   3000   3000    100   3000    100   3000    100   3000    100 -2.5625 1.0039 0.1719 0.0475 0.0000 1.3373 1.1527 0.0010 0.0022 261.0000 508.1460 0.4717 0.0030 508.6207 
 45   2802    515   1705   1458   1362    985   3000    685    927   1701 -2.7969 1.3285 0.4375 0.1490 2.9474 0.3023 9.5574 0.0002 0.0094 67.0000 122.3479 0.3948 0.0036 122.7463 
 46    100   3000   3000   2325   3000    100   3000    100   3000    100 -1.7578 1.0826 0.0312 0.1671 0.0000 1.2876 1.1756 0.0008 0.0091 214.0000 501.7055 0.4450 0.0023 502.1528 
 47   2835    477   1845   1430   1394    857   3000    793    839   1692 -2.7500 1.6535 0.4688 0.1441 5.0000 0.1430 5.3774 0.0004 0.0091 63.0000 119.9143 0.3911 0.0026 120.3079 
 48   3000    281   3000    100   3000    100   3000    100   1082    100 -1.2656 0.9053 0.0078 0.0150 0.0000 1.6263 0.5342 0.0005 0.0100 279.0000 535.7082 0.4066 0.0024 536.1172 
 49    100   1740   3000   2618   1252    637   3000   1728    751   1394 -2.0078 1.0472 0.0234 0.1503 0.0000 0.8078 6.8604 0.0000 0.0091 101.0000 191.6477 0.3971 0.0020 192.0467 
 50    100   3000   3000    100    524    100   3000    475   3000    100 -2.2344 0.8265 0.0234 0.1133 0.0000 1.9218 2.6872 0.0003 0.0096 226.0000 524.0294 0.3413 0.0022 524.3729 
 51    100   3000   2425    100   2858   1295   2582    188   3000    100 -1.8438 0.5266 0.0000 0.0161 0.0000 1.1354 6.8231 0.0000 0.0098 177.0000 317.6027 0.3941 0.0023 317.9991 
 52    804   1652   3000   3000    705    100   2400   1439    894    223 -1.9375 1.4449 0.1016 0.0214 1.1818 0.5169 5.4948 0.0000 0.0096 86.0000 209.7365 0.3612 0.0023 210.1000 
 53    100   3000   2907    100   1164   3000   1550   3000   1960    100 -2.3047 1.2056 0.0234 0.0377 0.0000 0.5186 1.4564 0.0000 0.0096 197.0000 375.6207 0.3205 0.0020 375.9432 
 54   3000   2999    100    100    100    100   3000    100    100   1998 -1.6250 0.8189 0.0312 0.0373 0.0000 1.7134 0.2217 0.0009 0.0099 257.0000 529.3472 0.2275 0.0020 529.5767 
 55    100   3000   3000    100   2988    100   3000   1214   3000    100 -2.1094 1.0903 0.1094 0.0587 0.0000 0.8231 4.6170 0.0004 0.0095 243.0000 489.4965 0.3667 0.0018 489.8651 
 56   3000    100   3000   2502   2297   3000   3000   3000    100   3000 -1.8828 1.0649 0.0781 0.1471 0.0000 1.8560 1.3734 0.0001 0.0099 308.0000 572.7984 0.5244 0.0025 573.3254 
 57   2855    457   1950   1269   1453    850   3000    734    850   1740 -2.8984 1.3991 0.4922 0.1320 5.2500 0.1389 2.4537 0.0007 0.0096 67.0000 119.5745 0.2951 0.0021 119.8717 
 58    100   3000   1757    100   1522   3000   1525   3000   1815    100 -1.7891 1.4748 0.0781 0.0050 0.0000 0.4691 4.7174 0.0000 0.0098 176.0000 353.2360 0.3069 0.0020 353.5449 
 59    100   3000   3000    100    100   3000   3000    100    100    100 -1.9141 1.2445 0.0156 0.0182 0.0000 1.5653 1.2361 0.0009 0.0011 312.0000 517.8492 0.2386 0.0019 518.0897 
 60    100   3000    100   3000   3000   3000    100    100    100   3000 -1.8281 1.4663 0.1562 0.0706 0.0000 0.7326 0.4553 0.0010 0.0024 260.0000 431.2570 0.2494 0.0018 431.5081 
 61    226   3000   3000    100    100   3000    258   1584   2325    100 -2.0625 0.4055 0.0234 0.0082 0.0000 1.2356 5.5516 0.0001 0.0098 156.0000 254.2144 0.2215 0.0017 254.4376 
 62    100   3000   3000   3000    668   3000    100   3000   3000   3000 -1.6719 0.6946 0.0078 0.0399 0.0000 1.7572 7.2954 0.0001 0.0096 229.0000 370.1027 0.3433 0.0019 370.4479 
 63   3000    389    100    100   3000    100   3000    100   3000   3000 -1.9453 0.7450 0.0859 0.0084 0.0000 1.8183 2.0811 0.0006 0.0097 235.0000 385.7237 0.2518 0.0017 385.9772 
 64    100   3000   3000    100   2241    100   3000    100   1179    100 -1.9766 0.7002 0.0312 0.1750 0.0000 0.9738 2.2502 0.0003 0.0099 261.0000 413.2866 0.2073 0.0017 413.4956 
 65    100    100   3000   3000   3000   3000    100    100   3000   3000 -1.9688 0.8494 0.0391 0.0480 0.0000 0.7652 0.5095 0.0010 0.0015 316.0000 493.4609 0.2890 0.0019 493.7518 
 66    533   1859   3000   1703   1128   3000   1891   1966    440    100 -1.9531 0.8639 0.0469 0.1047 0.0000 1.5569 5.9819 0.0000 0.0096 128.0000 208.3622 0.2554 0.0024 208.6200 
 67   3000   3000    100   3000   3000   3000    100   3000    501   3000 -2.1719 1.7655 0.2734 0.0437 2.5000 1.1592 6.4967 0.0001 0.0099 270.0000 413.0345 0.3846 0.0019 413.4209 
 68   2889    432   1974   1249   1435    823   2999    709    850   1715 -2.9219 1.3797 0.4844 0.1182 5.1667 0.1151 9.9938 0.0009 0.0089 60.0000 100.0031 0.2427 0.0017 100.2476 
 69   1851   3000   3000    100   3000   3000    100   3000   3000    100 -2.1562 1.0305 0.1016 0.0962 0.0000 0.8347 2.0304 0.0004 0.0098 250.0000 408.0953 0.3122 0.0020 408.4095 
 70   2933    509   1908   1252   1550    910   3000    621   1021   1891 -2.8125 1.2402 0.3828 0.1735 2.8824 0.6442 4.5614 0.0002 0.0098 84.0000 139.0980 0.2506 0.0018 139.3505 
 71   1324   3000   3000    100    949   3000   2180   2734   2362    100 -2.0391 1.2662 0.1406 0.2110 1.2857 0.9119 6.8697 0.0000 0.0098 191.0000 312.6312 0.2946 0.0018 312.9277 
 72   2874    367   2080   1318   1494   1067   3000    622    900   1788 -2.6641 1.2012 0.3438 0.1401 2.0952 0.5464 4.4368 0.0002 0.0089 97.0000 161.4596 0.2496 0.0017 161.7110 
 73    525   3000   3000    100   1691   2438   1271   2311   1826    100 -2.5469 1.1316 0.1875 0.0871 0.0000 0.4434 5.2389 0.0000 0.0098 142.0000 229.5187 0.2600 0.0018 229.7804 
 74    100   3000   3000    100   1547    772    352   3000   2367    100 -2.0469 1.4624 0.1641 0.0172 1.1053 0.9660 1.8682 0.0001 0.0100 193.0000 315.8222 0.2305 0.0018 316.0545 
